time, light, accx, accy, accz,
10.336, 2.20751, 0.0170556, -0.0280847, 9.78148, 
10.368, 2.1975, -0.0259492, -0.0625588, 9.77082, 
10.4, 2.21831, 0.0386431, -0.154993, 9.82284, 
10.432, 2.2274, 0.0568788, -0.0869375, 9.80849, 
10.464, 2.21727, 0.0235798, -0.0592075, 9.85259, 
10.496, 2.22307, 0.00855028, -0.0716281, 9.90427, 
10.528, 2.19458, -0.0244732, 0.041244, 9.85984, 
10.56, 2.19313, 0.0506174, -0.057677, 9.71172, 
10.592, 2.18797, -0.032709, 0.029918, 9.8033, 
10.624, 2.20104, 0.0213002, -0.126509, 9.74601, 
10.656, 2.20182, -0.0130109, -0.00303903, 9.84716, 
10.688, 2.19276, -0.0508641, 0.0253003, 9.77269, 
10.72, 2.22037, -0.0394848, 0.0429512, 9.8398, 
10.752, 2.19004, 0.0028179, 0.0255431, 9.8004, 
10.784, 2.21926, -0.042622, -0.00957732, 9.78779, 
10.816, 2.21157, 0.0275422, -0.0602796, 9.85262, 
10.848, 2.20262, -0.03857, 0.132952, 9.78734, 
10.88, 2.20463, 0.00586153, -0.0103623, 9.79453, 
10.912, 2.21392, 0.0151751, 0.0697205, 9.8289, 
10.944, 2.18564, 0.0618949, 0.0030523, 9.84264, 
10.976, 2.19356, -0.00967631, -0.00713423, 9.88231, 
11.008, 2.19832, -0.0321501, -0.0341371, 9.80077, 
11.04, 2.18432, 0.0476103, 0.0123732, 9.84398, 
11.072, 2.18674, -0.00631778, 0.0541069, 9.77569, 
11.104, 2.19316, 0.0192015, 0.0512389, 9.8169, 
11.136, 2.17415, 0.0172469, 0.0087694, 9.86192, 
11.168, 2.21114, 0.0139232, -0.0119626, 9.85194, 
11.2, 2.20035, -0.00944426, 0.0620474, 9.8048, 
11.232, 2.20439, 0.0308978, 0.0384026, 9.83116, 
11.264, 2.19648, -0.0397838, -0.0152639, 9.81377, 
11.296, 2.18483, -0.025315, 0.0696943, 9.86188, 
11.328, 2.20374, -0.0858546, -0.0636189, 9.72463, 
11.36, 2.19874, 0.0237321, 0.0234052, 9.81537, 
11.392, 2.17619, -0.10015, 0.0761866, 9.7273, 
11.424, 2.19643, 0.0332102, -0.0411996, 9.82982, 
11.456, 2.20368, 0.00491944, -0.015302, 9.8546, 
11.488, 2.19317, 0.130173, 0.0241549, 9.81993, 
11.52, 2.19825, -0.0792234, -0.0107574, 9.7791, 
11.552, 2.16935, 0.0384129, 0.0210685, 9.77453, 
11.584, 2.19923, 0.0380151, 0.00975977, 9.82394, 
11.616, 2.18267, 0.00500781, 0.0143804, 9.93577, 
11.648, 2.17577, -0.0262457, -0.020645, 9.81785, 
11.68, 2.16548, 0.0283946, 0.0362036, 9.90507, 
11.712, 2.16762, 0.0853936, 0.00524122, 9.7975, 
11.744, 2.18748, -0.0116662, 0.00660844, 9.76331, 
11.776, 2.19111, 0.0527814, 0.00801141, 9.79333, 
11.808, 2.16914, 0.0891696, 0.0165522, 9.73656, 
11.84, 2.1819, 0.0544776, -0.104546, 9.77825, 
11.872, 2.18707, -0.00704051, 0.108891, 9.77016, 
11.904, 2.18299, -0.0266972, 0.0180533, 9.77487, 
11.936, 2.16483, 0.0303046, -0.00772221, 9.8018, 
11.968, 2.15579, -0.0183418, 0.0137746, 9.82148, 
12, 2.16366, -0.0560571, 0.0566779, 9.74975, 
12.032, 2.16188, -0.0484171, 0.0393752, 9.78559, 
12.064, 2.15162, 0.118943, -0.0505249, 9.83138, 
12.096, 2.16961, 0.0494206, -0.0544633, 9.78742, 
12.128, 2.18321, -0.0359664, -0.036815, 9.80805, 
12.16, 2.16325, -0.0592825, -0.125259, 9.82639, 
12.192, 2.14905, -0.0322058, -0.00726774, 9.72614, 
12.224, 2.14904, 0.0507085, -0.0753818, 9.71043, 
12.256, 2.14012, -0.0460738, -0.113035, 9.84868, 
12.288, 2.14885, 0.149305, 0.0185203, 9.8752, 
12.32, 2.14685, 0.0246944, -0.0479146, 9.81173, 
12.352, 2.12393, -0.031422, -0.0133307, 9.81534, 
12.384, 2.14085, 0.00375787, -0.0250694, 9.71104, 
12.416, 2.10383, -0.0446407, -0.0648641, 9.81646, 
12.448, 2.09833, -0.0421439, -0.112988, 9.78539, 
12.48, 2.09447, 0.0927197, 0.0470008, 9.80004, 
